EmployeeID|FirstName|LastName|AnnualSalary|Department|BonusMultiplier|CleanPhone|JoinDateKey
000101|Gabor|SZABO|95000.0|FIN|0.1|5551234567|230115
000102|Tony|STARK|150000.0|ENG|0.15|5559990000|221110
000103|Maria|GARCIA|110000.0|SAL|0.12|1234567890|210520
ERR_ID|Bad|DATA|0.0|FAI|0.0||200101
000105|Stephen|STRANGE|200000.0|MED|0.2|8880001111|190312
000106|Natasha|ROMANOFF|130000.0|INT|0.18|5551112222|180704
000nan|Missing|ID|50000.0|NAN|0.05|0000000000|240101
000108|Bruce|BANNER|180000.0|SCI|0.25|1112223333|171225
000109|Wanda|MAXIMOFF|140000.0|HEX|0.15|2223334444|201031
000110|Vision|ANDROID|160000.0|AI-|0.1|3334445555|201031
000111|Peter|PARKER|45000.0|PHO|0.05|4445556666|230815
000112|Thor|ODINSON|0.0|ASG|1.0|9999999999|
000113|Loki|LAUFEYSON|85000.0|MIS|0.1|0000000001|110506
000114|Sam|WILSON|90000.0|AVE|0.12|5554443333|140404
000115|Bucky|BARNES|88000.0|SOL|0.07||450101
000116|Scott|LANG|75000.0|QUA|0.08|1231231234|150717
000117|Hope|VANDYNE|125000.0|QUA|0.15|3213214321|150717
000118|Carol|DANVERS|250000.0|SPA|0.2|8888888888|190308
000119|Nick|FURY|300000.0|DIR|0.0||950101
000120|T-challa|KING|500000.0|WAK|0.5|1110001111|160506
